Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2018,08.12.2018,36 Hours of Jack 50K (USA),50km,18,16189.0,"*Chillicothe, MO",USA,1986.0,F,W23,11.119,348027
2017,09.12.2017,36 Hours of Jack 50K (USA),50km,23,14375.0,"*Joplin, MO",USA,1981.0,F,W35,12.522,37202
2017,09.12.2017,36 Hours of Jack 75K - 50km Split (USA),50km,4,19184.0,"*Parsons, KS",USA,1970.0,M,M45,9.383,24077
2018,08.12.2018,36 Hours of Jack 80K - 50km Split (USA),50km,8,18145.0,"*Carl Junction, MO",USA,1975.0,M,M40,9.92,348040
2022,08.01.2022,4. Ringkøbing Fjord Cannonball - Winter Edition 2022 (DEN),50km,20,17723.0,Aalborg Atletik Motion,DEN,1969.0,M,M50,10.156,881655
2014,05.07.2014,4th Of July Ultra - 50 Km (USA),50km,5,15684.0,"*Spokane, WA",USA,1975.0,M,M35,11.477,12081
2015,05.07.2015,4th Of July Ultra - 50 Km (USA),50km,14,15745.0,"*Spokane, WA",USA,1979.0,M,M35,11.432,99456
2017,19.03.2017,5 tot 50 van Krimpen (NED),50km,17,12672.0,,BEL,1964.0,M,M50,14.205,28535
2015,20.06.2015,50 KM UTACCH - Ultra Trail Amanecer Comechingón (ARG),50km,196,21253.0,*Rio De Janeiro,BRA,1979.0,M,M35,8.469,69764
2016,25.06.2016,50 KM UTACCH - Ultra Trail Amanecer Comechingón (ARG),50km,346,19939.0,,ARG,,M,,9.028,439017
2018,03.03.2018,50 KMS Pedestres Región de Murcia Los Alcázares (ESP),50km,16,13420.0,Simply Scorpio71,ESP,1967.0,M,M50,13.413,34051
2016,06.02.2016,50 KMS Pedestres Región de Murcia Los Alcázares (ESP),50km,20,12171.0,,ESP,1976.0,M,M35,14.789,209730
2019,09.03.2019,50 KMS Pedestres Región de Murcia Los Alcázares (ESP),50km,18,11062.0,CSM Cluj-Napoca,ROU,1974.0,M,M40,16.272,646506
2017,11.02.2017,50 KMS Pedestres Región de Murcia Los Alcázares (ESP),50km,12,15369.0,,ESP,1978.0,M,M35,11.712,34056
2017,24.06.2017,50 Kilometer von Berlin (GER),50km,18,12361.0,EK Schwaikheim,GER,1964.0,M,M50,14.562,2138
2015,21.02.2015,50 Km Jubiläumsläuf SuS Phönix Bielefeld (GER),50km,7,14925.0,SV Eintracht Jerxen Orbke,GER,1979.0,M,M35,12.06,1479809
1994,09.04.1994,50 Km Lovelock Track Run (NZL),50km,10,13214.0,,NZL,1958.0,M,M35,13622.0,1134882
1980,22.11.1980,50 Km Montataire (FRA),50km,3,11027.0,,GBR,1947.0,M,M23,16324.0,1553635
1993,03.07.1993,50 Km Ultramarathon Hannover (GER),50km,18,12736.0,MTV 48 Hildesheim,GER,1962.0,M,M30,14133.0,1624454
1996,22.06.1996,50 Km Ultramarathon Hannover (GER),50km,15,13140.0,LG Braunschweig,GER,1942.0,M,M50,13.699,1047174
1995,24.06.1995,50 Km Ultramarathon Hannover (GER),50km,12,11861.0,LG Braunschweig,GER,1956.0,M,M35,15176.0,1091581
2016,17.09.2016,50 Km Ultramarathon Pokcha-Nyrob (RUS),50km,11,12441.0,*Perm,RUS,1990.0,M,M23,14.468,483207
2015,19.09.2015,50 Km Ultramarathon Pokcha-Nyrob (RUS),50km,9,13712.0,*Соликамск,RUS,1989.0,M,M23,13.127,206743
2014,20.09.2014,50 Km Ultramarathon Pokcha-Nyrob (RUS),50km,10,13619.0,Спортикум,RUS,1976.0,M,M35,13.217,1452441
2015,16.05.2015,50 Km Velence - Ultrafutó Kupa 3. állomás (HUN),50km,54,11470.0,Karc A-T-Omsport,HUN,1979.0,M,M35,15.693,689483
2016,05.11.2016,50 Km Velence - Ultrarunning Cup 50 km (HUN),50km,61,11234.0,Elte SE,HUN,1977.0,M,M35,16.023,192434
1985,11.05.1985,50 Km de La Ferté-Bernard (FRA),50km,12,11570.0,Socopa Cherre,FRA,,M,,15557.0,1591860
1986,24.05.1986,50 Km de La Ferté-Bernard (FRA),50km,20,11485.0,SOCOPA Cherre,FRA,,M,,15673.0,1591860
1994,18.06.1994,50 Mile Track Race Burwood - 50km Split (AUS),50km,4,13486.0,,AUS,1953.0,M,M40,13347.0,1065994
1993,19.06.1993,50 Mile Track Race Burwood - 50km Split (AUS),50km,8,11498.0,*VIC,AUS,1960.0,M,M23,15655.0,1046125
1998,20.06.1998,50 Mile Track Race Burwood - 50km Split (AUS),50km,3,13053.0,*VIC,AUS,1966.0,M,M23,13.79,1052356
1996,20.07.1996,50 Mile Track Race Burwood - 50km Split (AUS),50km,5,13774.0,*VIC,AUS,1966.0,M,M23,13.068,1052356
1997,21.06.1997,50 Mile Track Race Burwood - 50km Split (AUS),50km,2,12700.0,,AUS,1966.0,M,M23,14.173,1052356
1995,29.07.1995,50 Mile Track Race Burwood - 50km Split (AUS),50km,5,13910.0,*VIC,AUS,1943.0,M,M50,12940.0,123746
1969,03.05.1969,50 Miles Track Race Auckland - 50km Split (NZL),50km,1,10484.0,,NZL,1935.0,M,M23,17169.0,1522520
2015,09.05.2015,50 Trail Vipava Valley (SLO),50km,108,18470.0,AD Natura,CRO,1979.0,M,M35,9.746,417245
2016,14.05.2016,50 Ultra Trail Vipava Valley (SLO),50km,131,15414.0,ŠD Nanos Podnanost,SLO,1986.0,M,M23,11.678,469133
2017,29.04.2017,50 Ultra Trail Vipava Valley (SLO),50km,146,16030.0,,SLO,1986.0,M,M23,11.229,469133
2009,11.04.2009,50 km 'Caren Miosga' Ultramarathon (GER),50km,6,15401.0,100 Marathon Club,GER,1972.0,M,M35,11.688,159055
2009,10.04.2009,50 km 'Heiner Lauterbach' Ultramarathon (GER),50km,9,15371.0,100 Marathon Club,GER,1972.0,M,M35,11.71,159055
2009,12.04.2009,50 km 'Joschka Fischer' Ultramarathon (GER),50km,4,14798.0,100 Marathon Club,GER,1972.0,M,M35,12.164,159055
2009,13.04.2009,50 km 'Rudi Völler' Ultramarathon (GER),50km,5,15364.0,100 Marathon Club,GER,1972.0,M,M35,11.716,159055
2022,31.07.2022,50 km - Calabria (ITA),50km,47,11660.0,ATL. Avis Castel S.Pietro,ITA,1980.0,M,M40,15.437,65751
2006,06.05.2006,50 km Abrahammaton (NED),50km,14,17663.0,Geen,NED,1965.0,M,M40,10.191,169632
1996,23.03.1996,50 km Alzano Lombardo (ITA),50km,1,10587.0,,ITA,1965.0,M,M23,17.002,706942
1987,16.08.1987,50 km Arras (FRA),50km,26,14364.0,,SWE,,M,,12531.0,1600027
1986,17.08.1986,50 km Arras (FRA),50km,25,15561.0,,FRA,,M,,11567.0,1593951
1983,11.09.1983,50 km Avallon (FRA),50km,1,11107.0,E.S Viry-Chatillon,FRA,1946.0,M,M35,16206.0,1536297
1981,13.09.1981,50 km Avallon (FRA),50km,15,12006.0,,FRA,1949.0,M,M23,14993.0,1560440
1982,13.09.1982,50 km Avallon (FRA),50km,29,11480.0,ES Viry Chatillon,FRA,1951.0,M,M23,15679.0,1549526
1980,14.09.1980,50 km Avallon (FRA),50km,28,11309.0,,FRA,,M,,15917.0,1418006
1979,16.09.1979,50 km Avallon (FRA),50km,12,10970.0,A.C. Chenove,FRA,,M,,16408.0,1418006
1978,17.09.1978,50 km Avallon (FRA),50km,11,11280.0,AC Bailly,FRA,1951.0,M,M23,15957.0,1529745
1977,18.09.1977,50 km Avallon (FRA),50km,20,11460.0,,FRA,1947.0,M,M23,15707.0,1539965
2011,13.06.2011,50 km Baanwedstrijd Barendrecht (NED),50km,2,18637.0,Dijon UC,FRA,1965.0,M,M45,9.658,472434
2000,07.10.2000,50 km Bahnlauf Ottweiler (GER),50km,10,13670.0,LG Kreis Ahrweiler,GER,1947.0,M,M50,13.168,1052596
1975,05.04.1975,50 km Baratange (FRA),50km,10,11700.0,*Niort,FRA,,M,,15385.0,1539679
1981,05.04.1981,50 km Baratange (FRA),50km,1,10467.0,,GBR,1947.0,M,M23,17197.0,1553635
1980,06.04.1980,50 km Baratange (FRA),50km,5,10727.0,Gloucester AC,GBR,1947.0,M,M23,16780.0,1553635
1979,07.04.1979,50 km Baratange (FRA),50km,22,10675.0,,GBR,1947.0,M,M23,16862.0,1073256
1989,13.05.1989,50 km Baratange (FRA),50km,1,15300.0,*Royan,FRA,1942.0,M,M45,11765.0,1614367
1978,22.04.1978,50 km Baratange (FRA),50km,18,11520.0,,FRA,1952.0,M,M23,15625.0,1543831
1986,18.10.1986,50 km Bellegarde (FRA),50km,2,12650.0,,FRA,1943.0,M,M40,14229.0,1564624
2012,12.05.2012,50 km Bieg na Stadionie (POL),50km,6,14967.0,Biegiem Przez Polske,POL,1974.0,M,M35,12.026,214632
2005,06.11.2005,50 km Budapest (HUN),50km,40,10729.0,SZUFLA,HUN,1980.0,M,M23,16.777,1489
2021,01.08.2021,"50 km Calabria, Curinga - San Pietro a Maida (ITA)",50km,24,14316.0,,ITA,1976.0,M,M45,12.573,886180
2006,16.04.2006,"50 km Championship of Russia, Puschino (RUS)",50km,21,10497.0,*Kurgan,RUS,1976.0,M,M23,17.148,1159821
2008,19.04.2008,"50 km Championship of Russia, Puschino (RUS)",50km,11,12064.0,,RUS,1980.0,M,M23,14.92,483218
2007,21.04.2007,"50 km Championship of Russia, Puschino (RUS)",50km,35,10780.0,*Yaroslavl reg.,RUS,1984.0,M,M23,16.698,1210538
2021,18.12.2021,50 km Città di Lavello (ITA),50km,2,14343.0,A.S. Amatori Putignano,ITA,1968.0,M,M50,12.55,6932
2006,17.09.2006,50 km Città di Sanremo (ITA),50km,31,11303.0,Teorema RT VE,ITA,1975.0,M,M23,15.925,89568
2005,18.09.2005,50 km Città di Sanremo (ITA),50km,39,11907.0,Maurina O.Carli,ITA,1970.0,M,M35,15.117,252613
2007,21.10.2007,50 km Città di Sanremo (ITA),50km,54,11696.0,Sanremo Runners,ITA,1975.0,M,M23,15.39,1212735
2004,22.08.2004,50 km Città di Sanremo (ITA),50km,44,11554.0,US Maurina Olio Carli,ITA,1970.0,M,M23,15.579,252613
2008,26.10.2008,50 km Città di Sanremo (ITA),50km,44,12344.0,Runners Bergamo,ITA,1965.0,M,M40,14.582,406473
2019,28.07.2019,50 km Curinga - San Pietro a Maida (ITA),50km,21,13910.0,,ITA,1970.0,M,M45,12.94,375552
1977,20.03.1977,50 km Des Moines (USA),50km,4,12340.0,,USA,1950.0,M,M23,14587.0,200749
1988,30.07.1988,50 km Destelbergen (BEL),50km,3,11799.0,,BEL,1955.0,M,M23,15256.0,1581316
2012,25.02.2012,50 km Drummondville (CAN),50km,3,19725.0,*Lac-à-la-Tortue,CAN,1963.0,F,W45,9.125,561141
2012,26.02.2012,50 km Drummondville (CAN),50km,5,13890.0,"*Drummondville, QC",CAN,1980.0,M,M23,12.959,714153
1992,13.06.1992,50 km Dutch and Belgian Championship  (NED),50km,18,14845.0,*Potsdam,GER,1963.0,M,M23,12125.0,1603274
1993,05.06.1993,50 km Dutch and Belgian Championship (BEL),50km,11,16060.0,,BEL,1952.0,M,M40,11208.0,78763
1994,04.06.1994,50 km Dutch and Belgian Championship (NED),50km,20,14953.0,,POR,1954.0,M,M35,12038.0,1051027
1984,20.05.1984,50 km Esch sur Alzette - Kampioenschap van Luxemburg (LUX),50km,16,14275.0,,MEX,1958.0,M,M23,12609.0,1564519
2011,07.05.2011,50 km For Yo Momma (USA),50km,32,18740.0,"*Pittsburgh, PA",USA,1971.0,M,M35,9.605,47457
2015,09.05.2015,50 km For Yo Momma (USA),50km,35,23618.0,,USA,,M,,7.621,1488786
2014,10.05.2014,50 km For Yo Momma (USA),50km,31,19113.0,,USA,1971.0,M,M40,9.418,61344
2013,11.05.2013,50 km For Yo Momma (USA),50km,44,18155.0,,USA,1982.0,M,M23,9.915,119568
2012,12.05.2012,50 km For Yo Momma (USA),50km,66,17422.0,,USA,1982.0,M,M23,10.332,119568
1992,12.04.1992,50 km French Championship (FRA),50km,24,14532.0,G.A. Haut Saonois,FRA,1965.0,M,M23,12386.0,1051014
1982,16.10.1982,50 km Gehen Hamm (GER),50km,8,14296.0,Eintracht Frankfurt,GER,1948.0,M,M30,12591.0,1536352
1985,01.05.1985,50 km Giuliana (ITA),50km,29,13980.0,Marathon Trieste,ITA,1940.0,M,M40,12876.0,1591920
2010,16.01.2010,50 km Hallen-Ultra-Lauf (GER),50km,25,14168.0,LG Hannover,GER,1968.0,M,M40,12.705,219543
2014,19.01.2014,50 km Hallen-Ultra-Lauf (GER),50km,57,12244.0,1.FC Union Berlin,GER,1968.0,M,M45,14.701,39201
2013,20.01.2013,50 km Hallen-Ultra-Lauf (GER),50km,47,12945.0,LC Oelsnitz/Erz.,GER,1965.0,M,M45,13.905,165058
2012,22.01.2012,50 km Hallen-Ultra-Lauf (GER),50km,58,12095.0,1.FC Union Berlin,GER,1968.0,M,M40,14.882,39201
2011,23.01.2011,50 km Hallen-Ultra-Lauf (GER),50km,38,12658.0,ebm.papst Team Hohenlohe,GER,1963.0,M,M45,14.22,1315108
2016,24.01.2016,50 km Hallen-Ultra-Lauf (GER),50km,44,11545.0,Die Laufpartner,GER,1981.0,M,M35,15.591,24859
2015,25.01.2015,50 km Hallen-Ultra-Lauf (GER),50km,51,13561.0,*Dresden,GER,1968.0,M,M45,13.273,99717
2019,27.01.2019,50 km Hallen-Ultra-Lauf (GER),50km,25,12671.0,LG TUS Weinböhla,GER,1986.0,M,M30,14.206,187409
2018,28.01.2018,50 km Hallen-Ultra-Lauf (GER),50km,31,13711.0,TSG Grünstadt,GER,1968.0,M,M50,13.128,57858
2017,29.01.2017,50 km Hallen-Ultra-Lauf (GER),50km,24,14760.0,SV Schwindegg,GER,1956.0,M,M60,12.195,58942
2019,03.11.2019,50 km Herbstwaldlauf - Ultramarathon in Bottrop (GER),50km,244,12794.0,TUS 08 Lintorf,GER,1964.0,M,M55,14.069,807773
2018,04.11.2018,50 km Herbstwaldlauf - Ultramarathon in Bottrop (GER),50km,252,11080.0,TSVE 1890 Bielefeld,GER,1991.0,M,M20,16.245,367757
2022,06.11.2022,50 km Herbstwaldlauf - Ultramarathon in Bottrop (GER),50km,86,12638.0,SuS Oberaden,GER,1974.0,M,M45,14.243,299938
2021,07.11.2021,50 km Herbstwaldlauf - Ultramarathon in Bottrop (GER),50km,215,10333.0,LG Nord Berlin Ultrateam,GER,1987.0,M,M30,17.42,942509
2021,07.11.2021,50 km Herbstwaldlauf - Ultramarathon in Bottrop DUV-DM (GER),50km,212,10333.0,LG Nord Berlin Ultrateam,GER,1987.0,M,M30,17.42,942509
2013,08.12.2013,50 km Indoor Race - Quebec City (CAN),50km,6,15051.0,,CAN,1969.0,M,M40,11.959,119308
2014,26.01.2014,50 km Indoor Race - Sherbrooke (CAN),50km,11,13999.0,,CAN,1970.0,M,M40,12.858,204884
2022,11.06.2022,50 km Internacionales de Cantabria (ESP),50km,55,10807.0,Valencia Alcantara,ESP,1986.0,M,M35,16.656,995771
2021,12.06.2021,50 km Internacionales de Cantabria (ESP),50km,94,10314.0,,ESP,1986.0,M,M23,17.452,869395
2019,15.06.2019,50 km Internacionales de Cantabria (ESP),50km,19,11032.0,New Balance Team,ESP,1973.0,M,M45,16.316,153360
2018,16.06.2018,50 km Internacionales de Cantabria (ESP),50km,19,11320.0,,ESP,1971.0,M,M45,15.901,39774
2009,03.10.2009,50 km Lauf Ahrweiler (GER),50km,6,14292.0,Lauftreff Ahrweiler,GER,,M,,12.594,1269804
1994,19.03.1994,50 km Lauf Berlin (GER),50km,1,14693.0,Schell Hamburg,GER,1943.0,F,W50,12251.0,1052086
2002,19.10.2002,50 km Lauf Brakel (GER),50km,7,12374.0,Non-Stop-Ultra Brakel,GER,1972.0,M,M30,14.547,167913
2002,23.06.2002,50 km Lauf Brühl (GER),50km,25,12129.0,SV Blau Gelb Dernau,GER,1966.0,M,M35,14.84,612878
2001,24.06.2001,50 km Lauf Brühl (GER),50km,13,11673.0,SC Parus Crimea,UKR,1967.0,M,M30,15.42,1072771
2000,25.06.2000,50 km Lauf Brühl (GER),50km,20,12592.0,LG Team Voreifel,GER,1968.0,M,M30,14.295,402992
1995,19.03.1995,50 km Lauf Eschollbrücken (GER),50km,44,11628.0,EK Schwaikheim,GER,1964.0,M,M30,15480.0,2138
2005,20.03.2005,50 km Lauf Eschollbrücken (GER),50km,76,12959.0,EK Schwaikheim,GER,1973.0,M,M30,13.89,43644
2016,20.03.2016,50 km Lauf Eschollbrücken (GER),50km,64,12412.0,TSV Kusterdingen,GER,1969.0,M,M45,14.502,413584
1999,21.03.1999,50 km Lauf Eschollbrücken (GER),50km,50,12100.0,LG Offenbach,GER,1967.0,M,M30,14.876,1074369
2010,21.03.2010,50 km Lauf Eschollbrücken (GER),50km,64,12511.0,LG DUV,GER,1963.0,M,M45,14.387,786849
1998,22.03.1998,50 km Lauf Eschollbrücken (GER),50km,68,11348.0,Marathon-Team Pegnitztal,GER,1956.0,M,M40,15.862,1047119
1997,23.03.1997,50 km Lauf Eschollbrücken (GER),50km,65,11811.0,LG Odenwald,GER,1956.0,M,M40,15.24,292076
1996,24.03.1996,50 km Lauf Eschollbrücken (GER),50km,59,11284.0,EK Schwaikheim,GER,1964.0,M,M30,15.952,2138
2002,24.03.2002,50 km Lauf Eschollbrücken (GER),50km,62,11940.0,Kopenhagen,DEN,1971.0,M,M30,15.075,285002
2013,24.03.2013,50 km Lauf Eschollbrücken (GER),50km,83,12413.0,ASC Darmstadt,GER,1973.0,M,M40,14.501,43644
2001,25.03.2001,50 km Lauf Eschollbrücken (GER),50km,47,11900.0,TSV Viernheim,GER,1974.0,M,M20,15.126,1133260
2007,25.03.2007,50 km Lauf Eschollbrücken (GER),50km,61,12691.0,LG Offenbach,GER,1957.0,M,M50,14.183,58891
2012,25.03.2012,50 km Lauf Eschollbrücken (GER),50km,91,12697.0,Adler-Langlauf Bottrop,GER,,M,M40,14.177,1998
2018,25.03.2018,50 km Lauf Eschollbrücken (GER),50km,38,14049.0,TSV Hirschau,GER,1974.0,M,M40,12.812,58870
2000,26.03.2000,50 km Lauf Eschollbrücken (GER),50km,49,12135.0,LG Odenwald,GER,1956.0,M,M40,14.833,292076
2006,26.03.2006,50 km Lauf Eschollbrücken (GER),50km,71,12477.0,LG Offenbach,GER,1968.0,M,M35,14.427,1153283
2017,26.03.2017,50 km Lauf Eschollbrücken (GER),50km,81,11125.0,Spiridon Frankfurt,GER,1981.0,M,M35,16.18,55314
1994,27.03.1994,50 km Lauf Eschollbrücken (GER),50km,5,11142.0,LV Ettenheim,GER,1950.0,M,M40,16155.0,1047852
2011,27.03.2011,50 km Lauf Eschollbrücken (GER),50km,108,12182.0,Bautzener LV Rot-Weiß 90,GER,1973.0,M,M35,14.776,43644
1993,28.03.1993,50 km Lauf Eschollbrücken (GER),50km,1,12336.0,Sport-Team Marburg,GER,1948.0,M,M45,14591.0,274978
2004,28.03.2004,50 km Lauf Eschollbrücken (GER),50km,18,12692.0,,GER,1956.0,M,M45,14.182,1072255
2009,29.03.2009,50 km Lauf Eschollbrücken (GER),50km,78,12358.0,Bautzener LV Rot-Weiß 90,GER,1973.0,M,M35,14.565,43644
2015,29.03.2015,50 km Lauf Eschollbrücken (GER),50km,64,12523.0,TSV Krofdorf-Gleiberg,GER,1987.0,M,M20,14.374,57210
2003,30.03.2003,50 km Lauf Eschollbrücken (GER),50km,65,12757.0,Bautzener LV Rot-Weiß 90,GER,1973.0,M,M30,14.11,43644
2008,30.03.2008,50 km Lauf Eschollbrücken (GER),50km,70,12776.0,LG Offenbach,GER,1957.0,M,M50,14.089,58891
2014,30.03.2014,50 km Lauf Eschollbrücken (GER),50km,54,12775.0,passtschon98,GER,1974.0,M,M40,14.09,67473
1989,24.06.1989,50 km Lauf Hirtenberg (AUT),50km,19,17412.0,*Berlin,GER,1953.0,F,W35,10338.0,45947
1983,25.06.1983,50 km Lauf Hirtenberg (AUT),50km,2,11400.0,,GBR,1955.0,M,M23,15789.0,1047107
1987,26.-27.06.1987,50 km Lauf Hirtenberg (AUT),50km,54,11474.0,,HUN,1955.0,M,M23,15688.0,1600786
1986,27.-28.06.1986,50 km Lauf Hirtenberg (AUT),50km,4,11938.0,,AUT,1951.0,M,M23,15078.0,1171045
1985,28.-29.06.1985,50 km Lauf Hirtenberg (AUT),50km,12,11275.0,,GER,1953.0,M,M23,15965.0,1102224
1984,29.-30.06.1984,50 km Lauf Hirtenberg (AUT),50km,53,10794.0,*Wien,GBR,1955.0,M,M23,16676.0,1047107
1984,30.06.1984,50 km Lauf Hirtenberg Samstagstarter (AUT),50km,5,14345.0,*Salzburg,AUT,1964.0,M,MU23,12548.0,1582720
1996,10.03.1996,50 km Lauf Marburg (GER),50km,245,10687.0,LTF Marpingen,GER,1966.0,M,M30,16.843,1053232
1981,16.08.1981,50 km Lauf Neuenhagen (GER),50km,1,12167.0,Einheit Berliner Bär,GER,1939.0,M,M40,14794.0,1050058
2001,12.05.2001,50 km Lauf Neuwittenbek (GER),50km,1,14983.0,Verein f.Kanusport Berlin,GER,1968.0,F,W30,12.014,1131518
1998,12.09.1998,50 km Lauf Neuwittenbek (GER),50km,1,11660.0,DJK Weiden,GER,1961.0,M,M35,15.437,1047768
1993,16.10.1993,50 km Lauf Neuwittenbek (GER),50km,23,13313.0,SV Friedrichsort,GER,1958.0,M,M35,13521.0,1049618
1999,18.09.1999,50 km Lauf Neuwittenbek (GER),50km,9,13689.0,SKI-Club Duisburg,GER,1958.0,M,M40,13.149,1047214
1997,21.06.1997,50 km Lauf Neuwittenbek (GER),50km,32,12272.0,ZSV Langenhorn,GER,1954.0,M,M40,14.668,1075009
1996,21.09.1996,50 km Lauf Neuwittenbek (GER),50km,27,12192.0,LTF Marpingen,GER,1972.0,M,M20,14.764,126422
1995,23.09.1995,50 km Lauf Neuwittenbek (GER),50km,3,12056.0,Spiridon Bad Oldesloe,GER,1953.0,M,M40,14930.0,1128071
2000,30.09.2000,50 km Lauf Neuwittenbek (GER),50km,18,13790.0,MTV Immensen,GER,1960.0,M,M40,13.053,1109186
1994,20.08.1994,50 km Lauf Pfalzgrafenweiler (GER),50km,37,11222.0,LV Ettenheim,GER,1950.0,M,M40,16040.0,1047852
1993,21.08.1993,50 km Lauf Pfalzgrafenweiler (GER),50km,33,11720.0,LV Ettenheim,GER,1950.0,M,M40,15358.0,1047852
1997,06.09.1997,50 km Lauf Rheine-Elte (GER),50km,119,10431.0,LG Bonn Troisdorf,GER,1975.0,M,M20,17.256,262759
1995,04.06.1995,50 km Lauf Seevetal (GER),50km,7,12705.0,,GER,1949.0,M,M45,14168.0,1050046
1998,31.10.1998,50 km Lauf Spich (GER),50km,74,12033.0,LG Bonn/Troisdorf,GER,1955.0,M,M40,14.959,1084069
1996,07.09.1996,50 km Lauf Unna-Lünern (GER),50km,62,11814.0,SG Wenden,GER,1968.0,M,M20,15.236,1047121
1996,13.04.1996,50 km Lauf Usingen (GER),50km,5,13980.0,LLG St. Augustin,GER,1951.0,M,M45,12.876,1063618
2012,20.10.2012,50 km Lungo Il Mare (ITA),50km,40,10421.0,,GBR,1974.0,M,M35,17.273,19736
2011,21.05.2011,50 km Lungo Il Mare (ITA),50km,16,11762.0,Gruppo Citta' Di Genova,ITA,1969.0,M,M40,15.304,1151243
2008,05.04.2008,50 km Marathon Mnisek pod Brdy (CZE),50km,150,12902.0,AC Praha 1890,CZE,1966.0,M,M40,13.951,1108658
2006,08.04.2006,50 km Marathon Mnisek pod Brdy (CZE),50km,125,12388.0,AC Praha 1890,CZE,1966.0,M,M35,14.53,1108658
2005,09.04.2005,50 km Marathon Mnisek pod Brdy (CZE),50km,104,12363.0,Asko-Villach,AUT,1961.0,M,M40,14.56,289260
2015,11.04.2015,50 km Marathon Mnisek pod Brdy (CZE),50km,144,12089.0,Adidas Boost Team,CZE,1970.0,M,M45,14.89,89574
2014,12.04.2014,50 km Marathon Mnisek pod Brdy (CZE),50km,176,11219.0,SK Babice,CZE,1974.0,M,M35,16.044,145114
2013,13.04.2013,50 km Marathon Mnisek pod Brdy (CZE),50km,104,11880.0,Skivereiningung Amberg,GER,1975.0,M,M35,15.152,304992
2007,14.04.2007,50 km Marathon Mnisek pod Brdy (CZE),50km,145,11815.0,AC Moravská Slávia,CZE,1970.0,M,M35,15.235,89574
2012,14.04.2012,50 km Marathon Mnisek pod Brdy (CZE),50km,112,11835.0,AC Moravská Slávia,CZE,1970.0,M,M40,15.209,89574
2011,16.04.2011,50 km Marathon Mnisek pod Brdy (CZE),50km,117,12382.0,TRICLUB Pøíbram,CZE,1966.0,M,M40,14.537,549428
2016,16.04.2016,50 km Marathon Mnisek pod Brdy (CZE),50km,151,11634.0,*Szolnok,HUN,1977.0,M,M35,15.472,11826
2010,17.04.2010,50 km Marathon Mnisek pod Brdy (CZE),50km,129,12141.0,BLT Laufsport Saukel,GER,1969.0,M,M40,14.826,1127315
2009,18.04.2009,50 km Marathon Mnisek pod Brdy (CZE),50km,103,12764.0,MSC Rogner Bad Blumau,AUT,1973.0,M,M35,14.102,100818
2017,22.04.2017,50 km Marathon Mnisek pod Brdy (CZE),50km,110,11685.0,*St.Galen,SUI,1986.0,M,M23,15.404,542206
2013,05.10.2013,"50 km Marche St-Thibault-des-Vignes, Champ. Nationaux  (FRA)",50km,9,21256.0,Ea Cessonnaise,FRA,1964.0,F,W45,8.468,1332216
2012,01.09.2012,50 km Monnikentocht (NED),50km,23,14580.0,,ESP,1972.0,M,M35,12.346,1357999
2011,03.09.2011,50 km Monnikentocht (NED),50km,19,16740.0,*Soest,NED,1958.0,M,M50,10.753,1308908
2017,26.08.2017,50 km Monnikentocht (NED),50km,24,15720.0,*Haarlem,NED,1968.0,M,M45,11.45,415412
2016,27.08.2016,50 km Monnikentocht (NED),50km,31,14685.0,*Groningen,NED,1965.0,M,M50,12.257,23152
2010,28.08.2010,50 km Monnikentocht (NED),50km,26,15060.0,Loopgroep Bedum,NED,1966.0,M,M40,11.952,1125753
2009,29.08.2009,50 km Monnikentocht (NED),50km,28,14280.0,*Enschede,NED,1964.0,M,M45,12.605,377166
2015,29.08.2015,50 km Monnikentocht (NED),50km,36,13740.0,,NED,1964.0,M,M50,13.1,377166
2008,30.08.2008,50 km Monnikentocht (NED),50km,13,14940.0,Groningen Atletiek,NED,1967.0,M,M40,12.048,21274
2014,30.08.2014,50 km Monnikentocht (NED),50km,44,15540.0,*Eelderwolde,NED,1967.0,M,M45,11.583,21274
2013,31.08.2013,50 km Monnikentocht (NED),50km,35,14982.0,*Ouwsterhaule,NED,1968.0,M,M40,12.014,23141
1981,05.09.1981,50 km Montataire (FRA),50km,1,11629.0,,GBR,1947.0,M,M23,15479.0,1553635
1987,04.07.1987,50 km Oudenaarde - Belgian Championship (BEL),50km,12,15268.0,KKS,BEL,1952.0,M,M35,11789.0,78763
1995,15.08.1995,50 km Oudenaarde - Belgian Championship (BEL),50km,5,15494.0,,BEL,1963.0,M,M23,11617.0,1066348
2007,04.11.2007,50 km Pedestres Villa de Madrid (ESP),50km,43,12801.0,Fila Domingo Catalan,ESP,1979.0,M,M23,14.061,386920
2005,06.03.2005,50 km Pedestres Villa de Madrid (ESP),50km,45,11393.0,,RUS,1971.0,M,M23,15.799,1159835
2006,12.03.2006,50 km Pedestres Villa de Madrid (ESP),50km,70,11938.0,Parque Cataluña,ESP,,M,,15.078,1192822
2011,27.03.2011,50 km Perth (GBR),50km,24,11920.0,Ron Hill Cambuslang H,GBR,1962.0,M,M45,15.101,1237255
1998,04.10.1998,50 km Peter-Lauf (GER),50km,16,12695.0,USC Freiburg,GER,1974.0,M,M20,14.179,264801
